name: 007/profile/02.jpg, resolution: 90x129, color: RGB, face detected: True, distances: [0.26, 0.04, 0.09, 0.07, 0.13, 0.1, 0.06, 0.13, 0.04, 0.02, 0.17, 0.01, 0.03, 0.19, 0.05], mean: 0.09266666666666667
name: 007/profile/03.jpg, resolution: 192x186, color: RGB, face detected: True, distances: [0.09, 0.05, 0.02, 0.05, 0.21, 0.05, 0.09, 0.29, 0.13, 0.04, 0.28, 0.05, 0.08, 0.23, 0.01], mean: 0.11133333333333333
name: 007/profile/04.jpg, resolution: 154x186, color: RGB, face detected: True, distances: [0.11, 0.14, 0.06, 0.05, 0.07, 0.03, 0.05, 0.08, 0.12, 0.05, 0.09, 0.01, 0.07, 0.11, 0.09], mean: 0.07533333333333334
name: 008/profile/01.jpg, resolution: 273x235, color: RGB, face detected: True, distances: [0.04, 0.14, 0.08, 0.07, 0.13, 0.03, 0.07, 0.26, 0.12, 0.04, 0.23, 0.02, 0.03, 0.17, 0.07], mean: 0.1
name: 008/profile/02.jpg, resolution: 168x195, color: RGB, face detected: True, distances: [0.06, 0.16, 0.13, 0.11, 0.13, 0.03, 0.05, 0.11, 0.09, 0.03, 0.1, 0.04, 0.01, 0.05, 0.13], mean: 0.082
name: 008/profile/03.jpg, resolution: 282x254, color: RGB, face detected: True, distances: [0.05, 0.09, 0.02, 0.05, 0.18, 0.08, 0.09, 0.34, 0.17, 0.04, 0.3, 0.01, 0.03, 0.12, 0.07], mean: 0.10933333333333334
name: 008/profile/04.jpg, resolution: 637x594, color: RGB, face detected: True, distances: [0.08, 0.23, 0.08, 0.06, 0.06, 0.02, 0.04, 0.14, 0.06, 0.03, 0.16, 0.02, 0.07, 0.12, 0.07], mean: 0.08266666666666667
name: 009/profile/01.jpg, resolution: 515x580, color: RGB, face detected: True, distances: [0.07, 0.08, 0.04, 0.05, 0.04, 0.01, 0.03, 0.07, 0.07, 0.01, 0.01, 0.03, 0.05, 0.03, 0.0], mean: 0.03933333333333334
name: 009/profile/02.jpg, resolution: 518x557, color: RGB, face detected: True, distances: [0.12, 0.04, 0.02, 0.06, 0.14, 0.04, 0.06, 0.16, 0.11, 0.02, 0.19, 0.03, 0.03, 0.18, 0.04], mean: 0.08266666666666667
name: 009/profile/03.jpg, resolution: 222x295, color: RGB, face detected: True, distances: [0.12, 0.02, 0.01, 0.01, 0.16, 0.06, 0.04, 0.24, 0.11, 0.04, 0.22, 0.05, 0.05, 0.21, 0.02], mean: 0.09066666666666667
