name: 001\profile\01.jpg, resolution: 158x157, color: RGB, face detected: True, distances: [0.1355771259759443, 0.18590419919814308, 0.2941548849968348, 0.32749525216290354, 0.29742561721882255, 0.26260814517830766, 0.21861152141802068, 0.17967925722726313, 0.07797003587254694, 0.6741928676936062, 0.8597805444186537, 1.0, 0.6067735809242456, 0.6634311036083562, 0.5978054441865372, 0.6746148976577336, 0.7872968980797637, 0.7807554336357881, 0.7492086938172611, 0.5528592530069635, 0.5047478370964339, 0.29109516775691074, 0.4010339734121122, 0.273158894281494], mean: 0.4748408595343603
name: 001\profile\02.jpg, resolution: 437x418, color: RGB, face detected: True, distances: [0.10849434925264309, 0.13838862559241705, 0.27072548304775795, 0.2935107546481954, 0.3098067808968283, 0.2908494349252643, 0.32220196864746625, 0.23838862559241705, 0.14794021144732045, 0.717863652934743, 0.9095515858549034, 1.0, 0.6761574917973022, 0.7330659861465549, 0.6742253007655851, 0.6450966095515858, 0.8258111556689756, 0.8364199781261392, 0.7479037550127597, 0.5574553408676631, 0.4943127962085308, 0.24914327378782355, 0.3662777980313525, 0.21323368574553409], mean: 0.49028436018957344
name: 001\profile\03.jpg, resolution: 198x188, color: RGB, face detected: True, distances: [0.0790453074433657, 0.09967637540453075, 0.16901294498381877, 0.22508090614886733, 0.2580097087378641, 0.26237864077669903, 0.20825242718446602, 0.1651294498381877, 0.08608414239482201, 0.6995954692556634, 0.8719255663430421, 1.0, 0.6819579288025891, 0.7287216828478964, 0.6649676375404531, 0.6849514563106797, 0.8657766990291262, 0.850242718446602, 0.8016181229773462, 0.610032362459547, 0.6168284789644013, 0.32726537216828483, 0.4892394822006473, 0.27677993527508093], mean: 0.48844053398058257
name: 001\profile\04.jpg, resolution: 239x328, color: RGB, face detected: True, distances: [0.43137835118660117, 0.4748180150322543, 0.6398177191217376, 0.8309759128839439, 0.9209918920518435, 1.0, 0.965319287447476, 0.9631887317275256, 0.7721489021719832, 0.6730780611942949, 0.8967272296857431, 0.9434810913179854, 0.5663727288867847, 0.6570397111913358, 0.5305675563709534, 0.5455998106172694, 0.7155116292833048, 0.7190033733798898, 0.6242528259454341, 0.30697756998283715, 0.18944191276557967, 0.18991536959223532, 0.07829792270817305, 0.23513049653784693], mean: 0.6195848375451264
name: 002\profile\01.jpg, resolution: 525x511, color: RGB, face detected: True, distances: [0.2210846398482397, 0.34048429392400825, 0.47213078167717465, 0.5147854711822798, 0.46060927300117177, 0.38796518439993305, 0.29350555152597224, 0.20975841098030465, 0.07529431456787368, 0.4190983652290353, 0.7476147966300285, 1.0, 0.45787535568822185, 0.5996205992300396, 0.48694414997489266, 0.6076270713608213, 0.9283044133236623, 0.9403559671929923, 0.8606818055013111, 0.5598672097305138, 0.4782402499581544, 0.19173687440718631, 0.34193494392679796, 0.2396641187301233], mean: 0.4931326600829475
name: 002\profile\02.jpg, resolution: 623x592, color: RGB, face detected: True, distances: [0.11369674759505267, 0.25485570316078787, 0.3786303252404947, 0.4635822262940907, 0.49470911589555655, 0.5250801649106733, 0.5148648648648648, 0.510879523591388, 0.39997709573980755, 0.5654145671094823, 0.8237517178195143, 1.0, 0.5473431058176821, 0.6398076042143838, 0.5308062299587724, 0.47849289967934033, 0.9487631699496106, 0.8867155290884103, 0.7958772331653687, 0.47537792029317455, 0.3906092533211177, 0.12778286761337607, 0.20364177737059092, 0.09049473202015575], mean: 0.5067147656130707
name: 002\profile\03.jpg, resolution: 138x160, color: RGB, face detected: True, distances: [0.10366558134649721, 0.2601617477155761, 0.504883940762525, 0.7274445961558661, 0.8467597941392712, 0.8722823232853693, 0.9240625984665477, 1.0, 0.9933830479991598, 0.7239785736792355, 0.8863564751601724, 0.8152504988971747, 0.589223821027203, 0.5187480306690474, 0.47442495536183177, 0.33284318874067853, 0.5655918495956308, 0.4755802961873753, 0.3218149354059448, 0.276126457304905, 0.09085180128137801, 0.3536393236004622, 0.4057346917340616, 0.5141266673668733], mean: 0.5657056331617828
name: 002\profile\04.jpg, resolution: 367x403, color: RGB, face detected: True, distances: [0.4388222849083216, 0.5584009167842031, 0.6929654442877292, 0.7305183356840621, 0.6806681946403386, 0.5863011283497885, 0.4803861071932299, 0.36913787023977435, 0.24673836389280676, 0.44406734837799716, 0.7982193229901269, 1.0, 0.48020980253878703, 0.62561706629055, 0.49541607898448525, 0.6167136812411848, 0.9671632581100141, 0.9765514809590974, 0.9022831452750353, 0.6052098025387871, 0.5169252468265162, 0.1391925246826516, 0.230209802538787, 0.10952926657263752], mean: 0.5704686030794547
name: 003\profile\01.jpg, resolution: 226x229, color: RGB, face detected: True, distances: [0.2040816326530612, 0.32826011760636453, 0.4238441139167531, 0.5270955839963104, 0.5074368730543064, 0.4163495906837311, 0.33206502940159116, 0.23630808255505592, 0.13248011068834312, 0.49521503516660903, 0.7487028709789, 1.0, 0.504784964833391, 0.5936815404127753, 0.47959183673469385, 0.43214573965179287, 0.8461316730081864, 0.8042199930819786, 0.7104231523117721, 0.4464429839732503, 0.42776432606941084, 0.14839156001383602, 0.2757408047964948, 0.2508359275913755], mean: 0.4696663976324993
name: 003\profile\02.jpg, resolution: 212x170, color: RGB, face detected: True, distances: [0.12774451097804393, 0.2210578842315369, 0.3365144710578843, 0.3882859281437126, 0.39227794411177647, 0.3572230538922156, 0.28274700598802394, 0.22929141716566867, 0.10223303393213573, 0.5612524950099801, 0.8000873253493015, 1.0, 0.53187375249501, 0.624625748502994, 0.5368013972055888, 0.4661302395209581, 0.8997629740518962, 0.8597804391217565, 0.7619136726546907, 0.499500998003992, 0.4323852295409181, 0.1685379241516966, 0.2905439121756487, 0.17040918163672655], mean: 0.4600408557884232
