name: 094/profile/04.jpg, resolution: 320x324, color: RGB, face detected: True, distances: [0.38, 0.62, 1.23, 0.53, 0.52, 0.81, 0.52, 0.72, 0.33, 1.11, 0.96, 0.55, 0.83], mean: 0.7007692307692307
name: 496/profile/01.jpg, resolution: 248x277, color: RGB, face detected: True, distances: [0.54, 0.43, 0.74, 0.63, 1.11, 0.56, 0.49, 0.44, 0.85, 0.6, 0.26, 0.44, 0.31], mean: 0.5692307692307692
name: 496/profile/02.jpg, resolution: 76x73, color: RGB, face detected: True, distances: [0.39, 0.28, 0.65, 0.68, 1.12, 0.65, 0.58, 0.59, 0.86, 0.81, 0.41, 0.54, 0.39], mean: 0.6115384615384615
name: 496/profile/03.jpg, resolution: 90x86, color: RGB, face detected: True, distances: [0.45, 0.79, 1.34, 0.41, 0.48, 0.79, 0.43, 0.65, 0.31, 1.08, 0.91, 0.5, 0.87], mean: 0.693076923076923
name: 496/profile/04.jpg, resolution: 190x174, color: RGB, face detected: True, distances: [0.41, 0.23, 0.7, 0.68, 1.11, 0.64, 0.61, 0.63, 0.9, 0.86, 0.45, 0.55, 0.36], mean: 0.6253846153846154
name: 192/profile/01.jpg, resolution: 298x325, color: RGB, face detected: True, distances: [0.34, 0.5, 0.46, 0.67, 0.87, 0.61, 0.55, 0.52, 0.62, 0.48, 0.17, 0.17, 0.17], mean: 0.47153846153846146
name: 192/profile/02.jpg, resolution: 291x306, color: RGB, face detected: True, distances: [0.53, 0.45, 1.12, 0.55, 0.61, 0.81, 0.54, 0.71, 0.41, 1.09, 0.77, 0.36, 0.68], mean: 0.6638461538461539
name: 192/profile/03.jpg, resolution: 264x287, color: RGB, face detected: True, distances: [0.43, 0.48, 0.53, 0.7, 1.0, 0.57, 0.57, 0.51, 0.72, 0.53, 0.16, 0.16, 0.2], mean: 0.5046153846153846
name: 192/profile/04.jpg, resolution: 287x289, color: RGB, face detected: True, distances: [0.43, 0.63, 1.35, 0.54, 0.49, 0.92, 0.53, 0.81, 0.32, 1.15, 0.92, 0.44, 0.77], mean: 0.7153846153846154
name: 051/profile/01.jpg, resolution: 313x274, color: RGB, face detected: True, distances: [0.27, 0.71, 1.0, 0.86, 1.2, 1.01, 0.83, 0.89, 1.02, 1.31, 0.97, 1.17, 0.95], mean: 0.9376923076923076
name: 051/profile/02.jpg, resolution: 128x149, color: RGB, face detected: True, distances: [0.58, 0.54, 0.96, 0.41, 0.86, 0.39, 0.3, 0.27, 0.63, 0.47, 0.09, 0.27, 0.2], mean: 0.4592307692307692
name: 051/profile/03.jpg, resolution: 287x328, color: RGB, face detected: True, distances: [0.99, 1.53, 1.81, 0.68, 0.33, 1.0, 0.8, 0.99, 0.41, 1.49, 1.42, 1.05, 1.47], mean: 1.0746153846153847
name: 051/profile/04.jpg, resolution: 53x56, color: RGB, face detected: True, distances: [0.4, 0.41, 0.77, 0.61, 1.06, 0.56, 0.47, 0.47, 0.83, 0.77, 0.36, 0.54, 0.34], mean: 0.5838461538461538
